"PLOT","DATE","mean","se"
27,2012-11-27,0.173254878291754,0.0602805132446312
28,2012-11-27,0.0323940201255327,0.00434884821370936
29,2012-11-27,0.491003094896444,0.0880606887458756
30,2012-11-27,0.0264709665320996,0.00677662843911234
1,2012-12-06,0.33966453883131,0.0361403371734727
2,2012-12-06,0.0311892549776698,0.0146212316552322
3,2012-12-06,0.194835561686172,0.0941655662010026
4,2012-12-06,0.00469293653295575,0.00158720651874719
5,2012-12-06,0.188191780804035,0.0469831233715034
6,2012-12-06,0.0230825183373076,0.00140148012670259
7,2012-12-06,0.302922627029087,0.127603700933954
8,2012-12-06,0.0189198772759437,0.00424922510596015
9,2012-12-06,0.263072844150567,0.0688198040350255
10,2012-12-06,0.000842597709999463,0.00492603834754715
11,2012-12-06,0.153550492178931,0.00626830327147868
12,2012-12-06,0.0186609859671817,0.00212582857458874
13,2012-12-06,0.0763545764261052,0.0131471245874921
14,2012-12-06,0.00753326719123229,0.00342734473788248
15,2012-12-06,0.323086348755996,0.093060802805578
16,2012-12-06,-0.00608736726038366,0.00246877822499362
17,2012-12-06,0.266218482857291,0.105735627191235
18,2012-12-06,0.000128372973919963,0.00627021991274628
19,2012-12-06,0.412298919191752,0.0494223174895942
20,2012-12-06,0.0185508281654009,0.0107086023177571
21,2012-12-06,0.165216941048791,0.0470907158799631
22,2012-12-06,0.00632688157521522,0.00564341259517631
23,2012-12-06,0.277109208938122,0.0419131085605436
24,2012-12-06,0.009729764883243,0.00429430631194014
25,2012-12-06,0.350308561135116,0.0360586982134611
26,2012-12-06,0.0200506868859564,0.00516942844916985
27,2012-12-06,0.111004367685316,0.0421743408917345
28,2012-12-06,0.0182385750960243,0.00812141727193256
29,2012-12-06,0.501130631390774,0.09252453646042
30,2012-12-06,0.020308455473725,0.00716652936473587
1,2012-12-20,0.434537913838082,0.0325027726173839
2,2012-12-20,0.050496416717042,0.00739080221064836
3,2012-12-20,0.210331302290773,0.0672750060137621
4,2012-12-20,0.0520697466067254,0.0015290834030692
5,2012-12-20,0.230828074620994,0.0793748479399827
6,2012-12-20,0.0548010264237292,0.0175411488407056
7,2012-12-20,0.353992106725797,0.12094647199425
8,2012-12-20,0.05336758519814,0.00879741365108282
9,2012-12-20,0.300805614846675,0.0617277806435543
10,2012-12-20,0.0422932638706712,0.0061756871840317
11,2012-12-20,0.163993902924132,0.0400770651784369
12,2012-12-20,0.0593462917435585,0.00484794985909235
13,2012-12-20,0.0814992025518341,0.00509086767561292
14,2012-12-20,0.0471231234109417,0.0102907082814115
15,2012-12-20,0.327420580052489,0.0827650871887764
16,2012-12-20,0.0219001035741302,0.00400347620045846
17,2012-12-20,0.236057073533741,0.0929614754746572
18,2012-12-20,0.0247014090500495,0.00569535969205855
19,2012-12-20,0.3910616075999,0.0805622261329187
20,2012-12-20,0.0883118058434828,0.0239407861044802
21,2012-12-20,0.256509714897932,0.0391558481318782
22,2012-12-20,0.0428801148481431,0.00757340814417987
23,2012-12-20,0.260598667497463,0.0681248560359098
24,2012-12-20,0.0371727350924233,0.00324123968869249
25,2012-12-20,0.434760411055262,0.0861561981323692
26,2012-12-20,0.0399125472814774,0.0142886571897715
27,2012-12-20,0.111397701539358,0.0382467429441434
28,2012-12-20,0.0427867449228584,0.00555032095937262
29,2012-12-20,0.428090075076997,0.00729410635240514
30,2012-12-20,0.0525734458034623,0.00186163959712422
1,2013-01-21,0.28139587072385,0.125464967802838
2,2013-01-21,0.0424492930688808,0.000188841519509423
3,2013-01-21,0.200176794578459,0.024995507915916
4,2013-01-21,0.0448468623456502,0.00548692903626066
5,2013-01-21,0.356854126163817,0.110325343546046
6,2013-01-21,0.0722123113562586,0.0101533811066761
7,2013-01-21,0.403119934047402,0.143079100880466
8,2013-01-21,0.122785895476919,0.0120736449364005
9,2013-01-21,0.331678039232339,0.0725807881305631
10,2013-01-21,0.120626842026746,0.0235677156326159
11,2013-01-21,0.230761249718316,0.041527922793075
12,2013-01-21,0.132428476916876,0.0132555489012438
13,2013-01-21,0.119197413452042,0.0207012239475735
14,2013-01-21,0.173646281894305,0.0223743937524367
15,2013-01-21,0.408163163100589,0.138973499089281
16,2013-01-21,0.144843159105528,0.0084415627500544
17,2013-01-21,0.331196655967045,0.107584488423688
18,2013-01-21,0.0753667051046963,0.0222386710554183
19,2013-01-21,0.522963333363453,0.0674082168494927
20,2013-01-21,0.156578969555479,0.0408632886618995
21,2013-01-21,0.339617616223292,0.0712494107474321
22,2013-01-21,0.152910134035158,0.0393737798711453
23,2013-01-21,0.265527212533353,0.0584936663929015
24,2013-01-21,0.0860256081501815,0.0260571845672254
25,2013-01-21,0.513604820765549,0.0778728022170134
26,2013-01-21,0.205460973586778,0.0525218404282666
27,2013-01-21,0.133761626489026,0.0479836310573496
28,2013-01-21,0.0854074606262032,0.018036355222183
29,2013-01-21,0.528912836383839,0.0633450115779306
30,2013-01-21,0.277179601828323,0.0174843056381944
1,2013-02-03,0.571006094754266,0.0654639032643062
2,2013-02-03,0.0732297219057184,0.0313214311389566
3,2013-02-03,0.379237691774452,0.126565305836411
4,2013-02-03,0.103820621393635,0.0288614021163786
5,2013-02-03,0.402166900970582,0.0913304479263304
6,2013-02-03,0.0840865455556385,0.0221745377758447
7,2013-02-03,0.474639044237213,0.133358570433176
8,2013-02-03,0.202925241957881,0.0720537890591253
9,2013-02-03,0.48526427450849,0.133986581384991
10,2013-02-03,0.209486973552073,0.049083357420248
11,2013-02-03,0.299983733497192,0.0574266176100346
12,2013-02-03,0.193640198338605,0.0324006689729545
13,2013-02-03,0.131983553460006,0.0143713168976966
14,2013-02-03,0.238974099209108,0.0611729999281856
15,2013-02-03,0.472410814860398,0.153047078723655
16,2013-02-03,0.253988528798218,0.00875327093332803
17,2013-02-03,0.412117538965279,0.146871698642052
18,2013-02-03,0.0811994830879719,0.0388031234737822
19,2013-02-03,0.617974862274887,0.0618827559576238
20,2013-02-03,0.245420273696213,0.0719328732345012
21,2013-02-03,0.342387322476362,0.102051777103963
22,2013-02-03,0.33230229326619,0.065041556763153
23,2013-02-03,0.344283916536352,0.0810047502989447
24,2013-02-03,0.184751261808758,0.0936429525545976
25,2013-02-03,0.639714580506627,0.101943925897269
26,2013-02-03,0.348834531993858,0.0729595829543527
27,2013-02-03,0.288310281473825,0.105724678478313
28,2013-02-03,0.162643279865186,0.0580313886284004
29,2013-02-03,0.641347110982142,0.0778516698309303
30,2013-02-03,0.471802897060306,0.0223621719007417
1,2013-02-18,0.603868234052367,0.0246982200949081
2,2013-02-18,0.066889669058533,0.0227522560992191
3,2013-02-18,0.431191806623301,0.129997446756355
4,2013-02-18,0.192661948816237,0.0218313144560668
5,2013-02-18,0.432749051033107,0.108675206919221
6,2013-02-18,0.058782611597239,0.00728725210948006
7,2013-02-18,0.544166723909163,0.129689587827485
8,2013-02-18,0.281393336423627,0.0592039296919912
9,2013-02-18,0.522473468545141,0.143943634480816
10,2013-02-18,0.211147345139235,0.0602432921024809
11,2013-02-18,0.396481415184936,0.0844780390973112
12,2013-02-18,0.258276705894739,0.0394707218728346
13,2013-02-18,0.197659009761049,0.0215412087858368
14,2013-02-18,0.2946490975406,0.0600424337388775
15,2013-02-18,0.539986510744729,0.135042928401291
16,2013-02-18,0.287257571195703,0.00874103658127083
17,2013-02-18,0.454630765066711,0.144364900056625
18,2013-02-18,0.126023944472004,0.0657496637939785
19,2013-02-18,0.697898797115028,0.0460562666721428
20,2013-02-18,0.298466096826798,0.0973769294727929
21,2013-02-18,0.477339922583703,0.10881407968781
22,2013-02-18,0.378125727669926,0.0886556702492987
23,2013-02-18,0.375284577692595,0.0991757212930812
24,2013-02-18,0.179127189887364,0.0929763139208633
25,2013-02-18,0.665554967479514,0.0295336598199271
26,2013-02-18,0.476115998597339,0.0769876235095057
27,2013-02-18,0.35904047891688,0.126829202564196
28,2013-02-18,0.104122439673755,0.0267516476901835
29,2013-02-18,0.777947747299451,0.0222722737906088
30,2013-02-18,0.544575983090813,0.019297084443768
1,2013-03-02,0.513618946101618,0.141512867496909
2,2013-03-02,0.0787077489258834,0.038133710946536
3,2013-03-02,0.443885124379665,0.139609109234722
4,2013-03-02,0.142606338477153,0.0324999645116463
5,2013-03-02,0.397336403033158,0.11268461833271
6,2013-03-02,0.153798809923415,0.0855579113475955
7,2013-03-02,0.593778408315555,0.117036541632916
8,2013-03-02,0.337235622205307,0.111398416365726
9,2013-03-02,0.540920486682124,0.130830951021687
10,2013-03-02,0.26732097909041,0.0891108104913109
11,2013-03-02,0.522891799450773,0.0504602451361804
12,2013-03-02,0.24988999395239,0.0373869732611833
13,2013-03-02,0.183227768089853,0.0485268536433457
14,2013-03-02,0.260943242553839,0.0503001159156017
15,2013-03-02,0.531042226820107,0.125821618990061
16,2013-03-02,0.2759277617779,0.00624820424766683
17,2013-03-02,0.4724569121259,0.156338998058021
18,2013-03-02,0.194474528282329,0.0915607842161011
19,2013-03-02,0.738101800686048,0.0420212402773011
20,2013-03-02,0.307031787718097,0.0990352930737476
21,2013-03-02,0.490514559525008,0.134757381432627
22,2013-03-02,0.388378942596642,0.0969654992587474
23,2013-03-02,0.229794797185818,0.0234254403853415
24,2013-03-02,0.226458154943657,0.116924355817138
25,2013-03-02,0.671868802270582,0.0982847215649195
26,2013-03-02,0.39054254397365,0.107031872288391
27,2013-03-02,0.248260799301147,0.102209655178972
28,2013-03-02,0.125450097973217,0.0406408684896445
29,2013-03-02,0.803773804549903,0.0245550805717094
30,2013-03-02,0.610676074904992,0.0337714487900812
1,2013-03-20,0.370824183866771,0.189444545583044
2,2013-03-20,0.116533220893666,0.0479201947546949
3,2013-03-20,0.401037532368794,0.0746452037477106
4,2013-03-20,0.221778487686532,0.0477610498407182
5,2013-03-20,0.492284289134998,0.102408652028363
6,2013-03-20,0.155037291594633,0.0490600966158384
7,2013-03-20,0.658891561923011,0.101647148806398
8,2013-03-20,0.460092466563372,0.100832878178659
9,2013-03-20,0.589811342180148,0.146825153650331
10,2013-03-20,0.331987753682533,0.0381305207574536
11,2013-03-20,0.603465046072563,0.0168918816441119
12,2013-03-20,0.437547597474502,0.0139875620098761
13,2013-03-20,0.214120862461079,0.0246370060026357
14,2013-03-20,0.317093442972915,0.0530443596337006
15,2013-03-20,0.608833239738527,0.111152476081078
16,2013-03-20,0.368739891459044,0.0192617438589559
17,2013-03-20,0.553295025107821,0.139946203519349
18,2013-03-20,0.166009085928642,0.0696240958843427
19,2013-03-20,0.789768361034674,0.0280575780093546
20,2013-03-20,0.368904859249222,0.0738934046015405
21,2013-03-20,0.547570560974697,0.130095119884421
22,2013-03-20,0.501711512719075,0.058256213584968
23,2013-03-20,0.518921535356746,0.0962694892157036
24,2013-03-20,0.235325830508761,0.112714625372158
25,2013-03-20,0.712420320945371,0.077841203987479
26,2013-03-20,0.44290206206882,0.0194343224822329
27,2013-03-20,0.454718246213764,0.148915912797986
28,2013-03-20,0.0699674945043978,0.00430344754771531
29,2013-03-20,0.674560479022088,0.113107893579686
30,2013-03-20,0.660760774226098,0.0431481100918556
1,2013-03-29,0.424027912029683,0.240194193784879
2,2013-03-29,0.0393527093671127,0.00590874312011456
3,2013-03-29,0.523580081895651,0.11947419126801
4,2013-03-29,0.154932301717484,0.0278681035421255
5,2013-03-29,0.487900230326009,0.0965558005324557
6,2013-03-29,0.115348374345193,0.0282978514468631
7,2013-03-29,0.485916219706188,0.135438872447484
8,2013-03-29,0.423759989044845,0.111138676386181
9,2013-03-29,0.580985832525327,0.129582375286859
10,2013-03-29,0.14645459313096,0.0200625191257231
11,2013-03-29,0.52392004890575,0.0647067980649569
12,2013-03-29,0.230342767999092,0.0456502700038728
13,2013-03-29,0.306313493844178,0.0415924043506433
14,2013-03-29,0.210135662490441,0.0663739142037026
15,2013-03-29,0.617812024973668,0.107549403790496
16,2013-03-29,0.335384671159079,0.0318561190691932
17,2013-03-29,0.520378493136218,0.144265410006861
18,2013-03-29,0.132608539423963,0.0615407392708579
19,2013-03-29,0.786046487448095,0.0251903185354492
20,2013-03-29,0.318087928875127,0.106031941107787
21,2013-03-29,0.541163531246833,0.11009271852654
22,2013-03-29,0.408192252638614,0.0339304797400703
23,2013-03-29,0.479307424153732,0.113559598406082
24,2013-03-29,0.657523089758071,0.0759060904160728
25,2013-03-29,0.690737864273194,0.0581321752750706
26,2013-03-29,0.326359943360699,0.128873695795531
27,2013-03-29,0.644615023461076,0.0804401629174
28,2013-03-29,0.08768227824218,0.0289918943455675
29,2013-03-29,0.766835097118214,0.0140732138077642
30,2013-03-29,0.557957356113676,0.0835495274506988
1,2013-04-09,0.699920248505808,0.0330465941465676
2,2013-04-09,0.0588763227721573,0.0005361944168316
3,2013-04-09,0.417344287301492,0.0567567780880806
4,2013-04-09,0.127626283144614,0.0158649924466245
5,2013-04-09,0.495818050736036,0.081966685713531
6,2013-04-09,0.151999603737202,0.0560043827730644
7,2013-04-09,0.586918253573208,0.0876371287416848
8,2013-04-09,0.388200071266176,0.0961442363339922
9,2013-04-09,0.57674527650271,0.129885712881097
10,2013-04-09,0.149062971522454,0.00182133483045774
11,2013-04-09,0.560250490674863,0.00862874117537994
12,2013-04-09,0.22318108390805,0.0067798477644974
13,2013-04-09,0.295031648322895,0.0405094154780384
14,2013-04-09,0.182008123718316,0.0553707419032558
15,2013-04-09,0.587735001565739,0.118557732366835
16,2013-04-09,0.247872574850806,0.0554875895308945
17,2013-04-09,0.526665004633358,0.116444997843395
18,2013-04-09,0.156256369019898,0.0619176411628707
19,2013-04-09,0.770156511535519,0.0316166890095547
20,2013-04-09,0.259228971781733,0.0666070896863463
21,2013-04-09,0.599954840106045,0.0631168091713349
22,2013-04-09,0.264957116340131,0.0167185582705146
23,2013-04-09,0.512845431650823,0.0974880285476066
24,2013-04-09,0.255928272850957,0.126843417155057
25,2013-04-09,0.735148759206357,0.0297774088371488
26,2013-04-09,0.440475270350335,0.134129635702247
27,2013-04-09,0.642892435704188,0.0814317242162343
28,2013-04-09,0.0833336967429195,0.0178434686413109
29,2013-04-09,0.733687537246148,0.0145054996742715
30,2013-04-09,0.477486799378702,0.133565972726986
1,2013-04-17,0.519144783155725,0.168084960809205
2,2013-04-17,0.0427718594443224,0.00551221705958051
3,2013-04-17,0.421801697168676,0.0660179024690171
4,2013-04-17,0.0850454308876205,0.0153646003792308
5,2013-04-17,0.458470262029293,0.0760703905540595
6,2013-04-17,0.118021720848845,0.0321827277813497
7,2013-04-17,0.611477974183436,0.0846341818857255
8,2013-04-17,0.321655862427002,0.108635258880755
9,2013-04-17,0.572856000187434,0.119694570719864
10,2013-04-17,0.101241556795216,0.00517718546518206
11,2013-04-17,0.508496946496607,0.0286310157668711
12,2013-04-17,0.15109944059018,0.00656425336751212
13,2013-04-17,0.243753162080596,0.0453955678323817
14,2013-04-17,0.118482149926824,0.0410977453149454
15,2013-04-17,0.580311264622136,0.0931065338545463
16,2013-04-17,0.162010947068783,0.0439505737118214
17,2013-04-17,0.489660436112461,0.115866619636065
18,2013-04-17,0.11408153229645,0.0462793787394635
19,2013-04-17,0.774735212099948,0.0170101433165261
20,2013-04-17,0.0778441567054237,0.0214410844892766
21,2013-04-17,0.54575759508061,0.0524021557025534
22,2013-04-17,0.160311414327572,0.027963713398183
23,2013-04-17,0.487219129351756,0.0790798792945797
24,2013-04-17,0.260494131490715,0.131711166859382
25,2013-04-17,0.7049910752528,0.0485511814349233
26,2013-04-17,0.3524457150514,0.140991612597792
27,2013-04-17,0.486695677029674,0.135173405998013
28,2013-04-17,0.0526866591647075,0.00618468501243814
29,2013-04-17,0.727880894738035,0.00310047020503429
30,2013-04-17,0.306197059347179,0.103197932542859
1,2013-04-27,0.613360517506104,0.0213151545793573
2,2013-04-27,0.0233824087050899,0.006223711862109
3,2013-04-27,0.370394825052405,0.0639408008188196
4,2013-04-27,0.0371004726285924,0.0101917175753411
5,2013-04-27,0.273964682519204,0.00080503478669607
6,2013-04-27,0.0379571097694826,0.00765537853431628
7,2013-04-27,0.483957901637363,0.0846277902801902
8,2013-04-27,0.159922253805255,0.0617758056164358
9,2013-04-27,0.528783147205024,0.100616578496766
10,2013-04-27,0.0389763179438374,0.00506589309058575
11,2013-04-27,0.438026263854645,0.0312631618898864
12,2013-04-27,0.0674376083825518,0.0117175634949747
13,2013-04-27,0.128371870149481,0.00398635980176291
14,2013-04-27,0.0411022689694064,0.00981648100981635
15,2013-04-27,0.477003987176276,0.0956020694215656
16,2013-04-27,0.0693697931248703,0.0203537185822521
17,2013-04-27,0.443446485568602,0.114153554115505
18,2013-04-27,0.0422968596503683,0.0152551787925265
19,2013-04-27,0.649232589977944,0.0612138509857162
20,2013-04-27,0.0361303833809917,0.0114793409437581
22,2013-04-27,0.0916604801437197,0.00647057435507941
23,2013-04-27,0.470590129753542,0.11485408451535
24,2013-04-27,0.133899837797702,0.0692830022508875
25,2013-04-27,0.712764584634252,0.00570203275792968
26,2013-04-27,0.233713022413248,0.0995792716191493
27,2013-04-27,0.475454219286591,0.150572217598608
28,2013-04-27,0.0267271956822623,0.00164008908746956
29,2013-04-27,0.738225019731992,0.0135736835113512
30,2013-04-27,0.116818826816337,0.0315095059489083
1,2013-05-08,0.477048955681825,0.147466143805437
2,2013-05-08,0.03149640932092,0.00733120795182344
3,2013-05-08,0.393264608138169,0.0585171101690198
4,2013-05-08,0.0359532709363052,0.00740827195259501
5,2013-05-08,0.410735554309188,0.0573689517124148
6,2013-05-08,0.0604418038474032,0.0175621900468123
7,2013-05-08,0.585641983857579,0.0662000011177657
8,2013-05-08,0.161212122518049,0.0509421706686736
9,2013-05-08,0.528153079736037,0.112978632785234
10,2013-05-08,0.0948383779316701,0.0218108904070722
11,2013-05-08,0.490763324249299,0.0192554453390608
12,2013-05-08,0.0720227763549759,0.0181426911525714
13,2013-05-08,0.135512351364424,0.0215159975183927
14,2013-05-08,0.0484377205337548,0.00829323705192915
15,2013-05-08,0.539490964085685,0.0862179271956885
16,2013-05-08,0.0976300262313537,0.031616952728125
17,2013-05-08,0.458671049137419,0.103036321124961
18,2013-05-08,0.0425203089954804,0.0136263016578547
19,2013-05-08,0.655836369303234,0.0503095264177799
20,2013-05-08,0.0820152550918534,0.0366755344499882
21,2013-05-08,0.541179190101594,0.0435534151186406
22,2013-05-08,0.0897074534415467,0.00545042629633855
23,2013-05-08,0.369339503885646,0.061023322580563
24,2013-05-08,0.132271915143085,0.0681131223879068
25,2013-05-08,0.673868543013033,0.0349913592237962
26,2013-05-08,0.210570137189044,0.103741233967628
27,2013-05-08,0.447350682066147,0.139155831550938
28,2013-05-08,0.022744898687721,0.00516036472054641
29,2013-05-08,0.682097448752158,0.00619558480019259
30,2013-05-08,0.12400368518343,0.0518951499053859
1,2013-05-20,0.330149131066328,0.10006011352682
2,2013-05-20,0.0129820115453446,0.00191322813541814
3,2013-05-20,0.384880661257896,0.104034717320629
4,2013-05-20,0.0172227961145219,0.00982127591362502
5,2013-05-20,0.31978958049335,0.0401076042509286
6,2013-05-20,0.0248080362087882,0.00329879301170354
7,2013-05-20,0.400863573554779,0.0585845060298643
8,2013-05-20,0.0892661764918834,0.0427557919967675
9,2013-05-20,0.400710148554044,0.0903730884597324
10,2013-05-20,0.0240476487545001,0.00496733752820007
11,2013-05-20,0.382908615488358,0.0156004606100939
12,2013-05-20,0.0346377879823837,0.011335729065577
13,2013-05-20,0.116744606402982,0.00638323026635484
14,2013-05-20,0.0341829831574648,0.0145855417111868
15,2013-05-20,0.456202519146056,0.0755547282591583
16,2013-05-20,0.0371476484661762,0.0151063859337419
17,2013-05-20,0.38861652884473,0.0885221701694504
18,2013-05-20,0.00415334792942307,0.00562949955262328
19,2013-05-20,0.524613212776484,0.0345738065243478
20,2013-05-20,0.0448865273810197,0.0256170020196561
21,2013-05-20,0.473314540339663,0.0638625426502181
22,2013-05-20,0.0545081418177117,0.00483071662576216
23,2013-05-20,0.377444776900306,0.123341374547763
24,2013-05-20,0.0827852667061939,0.047533686007558
25,2013-05-20,0.578458509646256,0.0596222186112548
26,2013-05-20,0.146318385438416,0.0840668843805602
27,2013-05-20,0.397349937879993,0.13207608431166
28,2013-05-20,0.00790710632175343,0.00315154799036938
29,2013-05-20,0.575969778439329,0.0116208193406661
30,2013-05-20,0.120524882556741,0.0497609420256131
1,2013-07-03,0.108492338678972,0.0384438025111365
2,2013-07-03,0.0152575035423893,0.00277169549857509
3,2013-07-03,0.189685936194727,0.0372041919343956
4,2013-07-03,-0.00494577005228035,0.00321543637289344
5,2013-07-03,0.156891009604886,0.0330957262907511
6,2013-07-03,0.00889304540612359,0.00437612153607463
7,2013-07-03,0.167672845927213,0.0130123186215346
8,2013-07-03,0.0700217297677464,0.018515050618261
9,2013-07-03,0.178194010771338,0.0510723709616996
10,2013-07-03,-0.000628832019810673,0.00284950907542135
11,2013-07-03,0.177118836963527,0.0280145819102997
12,2013-07-03,0.0197140960435747,0.00219162076876606
13,2013-07-03,0.0972651280107283,0.0234886854673368
14,2013-07-03,0.00975662811744804,0.00477964346638391
15,2013-07-03,0.1706392790017,0.00957425505956347
16,2013-07-03,0.0134872429326111,0.000253804996392858
17,2013-07-03,0.185198107261649,0.0426871813275575
18,2013-07-03,0.0277540433184011,0.0250916125352804
19,2013-07-03,0.179284051815023,0.0238948235089497
20,2013-07-03,-0.00985447785751675,0.00318236703852913
21,2013-07-03,0.216861413601546,0.00867124668412183
22,2013-07-03,0.0226998206219282,0.00408981140500721
23,2013-07-03,0.115867492396139,0.011292477649507
24,2013-07-03,-0.00377633777459049,0.00662629038419798
25,2013-07-03,0.264112017163953,0.0469146967702176
26,2013-07-03,0.063341640689151,0.0205028004567522
27,2013-07-03,0.222390760647991,0.0767656022926522
28,2013-07-03,0.0084305764394673,0.00456340837096975
29,2013-07-03,0.249078048428158,0.0113535867413953
30,2013-07-03,0.0512242022387363,0.0130375427226874
1,2013-07-30,0.124407199987367,0.0434037532765802
2,2013-07-30,-0.0106465787530198,0.00236885240359375
3,2013-07-30,0.13609258302978,0.0348865880418925
4,2013-07-30,-0.0174953835327596,0.001031552206015
5,2013-07-30,0.128442357970608,0.0253093843328651
6,2013-07-30,0.00682512672724701,0.00633222412768746
7,2013-07-30,0.129986299760635,0.0400958158717644
8,2013-07-30,0.0155237751629517,0.00921033495334857
9,2013-07-30,0.0872620775810601,0.00505559208842371
10,2013-07-30,0.00090565174814994,0.00381506109051375
11,2013-07-30,0.117394036897468,0.00807354026948144
12,2013-07-30,-0.000736907021326613,0.00494305984460533
13,2013-07-30,0.0397314841057855,0.0139174491445532
14,2013-07-30,0.00396528828459051,0.000911855809741044
15,2013-07-30,0.156417619145283,0.0327914972073207
16,2013-07-30,0.00606535488576086,0.00062412263390859
17,2013-07-30,0.154804255036505,0.00650264806314606
18,2013-07-30,-0.0179171536943362,0.000795876477460867
19,2013-07-30,0.150793698167236,0.00379134943788335
20,2013-07-30,-0.000633795147211246,0.00326732352209849
21,2013-07-30,0.186694781835174,0.0405092106742844
22,2013-07-30,0.0144462579909166,0.00464812111217127
23,2013-07-30,0.137856382430296,0.0518090759692395
24,2013-07-30,0.0113231452700454,0.0165977511628433
25,2013-07-30,0.205873234889929,0.0114546351088326
26,2013-07-30,0.0390024165841473,0.0153782861924427
27,2013-07-30,0.18502046510651,0.0712071830836619
28,2013-07-30,-0.00406798160729673,0.00490918841084998
29,2013-07-30,0.294631148270134,0.0369590222035799
30,2013-07-30,0.0344631056195078,0.0121207021649374
1,2013-08-19,0.114644882571089,0.0345705737298168
2,2013-08-19,-0.00967301069153332,0.00349285886130693
3,2013-08-19,0.11822324211029,0.0296491339825624
4,2013-08-19,-0.0119223272382509,0.00441390199993164
5,2013-08-19,0.135384669374616,0.0197435936476319
6,2013-08-19,-0.000259448403855744,0.000527004663496085
7,2013-08-19,0.108175241901385,0.0251011844330295
8,2013-08-19,0.0158787716624971,0.0101131409675553
9,2013-08-19,0.129128598688,0.0165947020845086
10,2013-08-19,-0.0153107739467146,0.00291934809668227
11,2013-08-19,0.114044396044615,0.0115541249539761
12,2013-08-19,-0.00384135648555752,0.00366500613805778
13,2013-08-19,0.0259882726157665,0.0172211266069473
14,2013-08-19,-0.0174198494727797,0.00554917024016669
15,2013-08-19,0.133598160103088,0.0289962148843083
16,2013-08-19,0.00212918395710887,0.00260845937080232
17,2013-08-19,0.164406434050373,0.0548002723750838
18,2013-08-19,-0.0325785277629338,0.00255573497594803
19,2013-08-19,0.144554035786213,0.0170506024686782
20,2013-08-19,0.00088350293978985,0.0136992916750866
21,2013-08-19,0.154443949094044,0.0192787730635678
22,2013-08-19,0.00698690272448382,0.00883418073037937
23,2013-08-19,0.0561924776003594,0.00733095548294048
24,2013-08-19,-0.00302042793477855,0.01305471880145
25,2013-08-19,0.184735539465285,0.0230882617193905
